Timestamp,L_1,L_2,A_1,A_2,B_1,B_2,C_1,C_2,A_3,A_4,B_3,B_4,C_3,C_4,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,A_5,B_5,C_5
4492,56.06681853268087,-4.051199213212669,74.81515359889227,61.122402147151604,55.35992415304406,61.15409836281995,55.37638052132806,61.20322432584584,44.08001859478635,26.545054265322307,24.38590820477974,31.30973317591382,27.591421497052664,26.76943117331254,59.06585430331357,-98.65609643704641,-77.60802815840928,-41.6159025514997,52.837992019724865,-32.83893396154781,57.37605345187244,-40.757587647692844,99.99999999999997,83.33333333690629,93.84614893097987
4493,56.06681853268087,-3.9269292940441147,74.83039867423113,61.05684126985403,55.35992415304406,61.140983599320776,55.38993156243359,60.96729798997109,46.064976336837034,31.121245472629454,21.75177764757106,30.10168973337325,26.05169094995911,27.724706891689507,59.86700324626595,-98.65609643704641,-77.60802815840928,-35.50283212026531,52.22475754554215,-32.95738381314753,57.37605345187244,-45.03960473006648,99.99999999999997,83.33333333690629,93.84614893097987
4494,56.06681853268087,-2.1995774807172808,74.86088879993142,61.122402147151604,55.33283673115341,61.06229508278727,55.444135771259766,61.08526115790846,43.35116693499289,30.743827652520594,20.135746599853334,29.42885541253129,26.91778937284495,30.05861918101691,59.24724652195236,-98.65609643704641,-77.60802815840928,-48.5946350438208,56.31774101547283,-26.957641314022712,57.54308708169724,-43.80048624076194,99.99999999999997,83.33333333690629,93.84614893097987
4495,56.06681853268087,-2.1995774807172808,74.8761338502928,61.096177800529176,55.22448704359073,61.18032786833112,55.43058473015424,60.86244185023767,43.94045125513638,25.69586412498849,21.234647718655893,31.753192148147576,26.134176506535454,28.061224487436604,59.76116088140269,-98.65609643704641,-77.60802815840928,-41.092230426853135,56.118054753483264,-31.67503541684369,57.33046843937207,-36.41283036880252,99.99999999999997,83.33333333690629,93.84614893097987
4496,56.06681853268087,-1.6652168425445097,74.84564372459252,61.10928996309889,55.3734678750844,61.101639351797616,55.484788938980415,61.072154151179035,42.20361323084204,29.17125335483105,23.238526173344383,29.107729964566047,26.4503711738642,28.647416404318918,59.21701446487417,-98.65609643704641,-77.60802815840928,-35.620391163652535,48.95892755893668,-27.091541146412617,57.51271733308171,-31.83279743649429,99.99999999999997,83.33333333690629,93.84614893097987
4497,56.06681853268087,-4.933515600625341,74.81515359889227,61.14862649377403,55.38701159712474,61.140983599320776,55.43058473015424,61.12458222104573,44.4521981841246,29.658751377839394,25.6464124098201,30.68277392980427,29.282375575798213,28.234910983303834,59.53445084130051,-98.65609643704641,-77.60802815840928,-40.72886610296995,55.98973188681349,-18.887601399982174,57.64938121429101,-38.4362010704312,99.99999999999997,83.33333333690629,93.84614893097987
4498,56.06681853268087,-3.7405244254712926,74.90662400097057,61.13551433120429,55.38701159712474,61.15409836281995,55.43058473015424,61.0590471229751,42.56028532670473,28.998270160442544,22.123464785633658,28.32785381938436,27.06901292702102,27.279635247141343,59.48910280521538,-98.65609643704641,-77.60802815840928,-39.74564498098612,56.51739874799294,-25.80919275010878,57.33046843937207,-33.338561690324255,99.99999999999997,83.33333333690629,93.84614893097987
4499,56.06681853268087,-0.3231017806762395,74.84564372459252,61.030616923231605,55.31929303130306,61.12786885730878,55.444135771259766,61.04594009477117,44.18857097289272,31.074068261219026,24.20814479667959,28.86306294108296,25.955457789358007,29.602692140481395,59.02050624246236,-98.65609643704641,-77.60802815840928,-42.599123673483525,55.077010837216264,-32.61748423829478,57.43679294910349,-31.91122263716801,99.99999999999997,83.33333333690629,93.84614893097987
4500,56.06681853268087,-2.4108363371958177,74.78466347319198,61.16173867782672,55.40055529697506,61.21967213734149,55.41703366684666,61.137689227775155,46.29758858652531,27.96037112293685,22.495151923696255,28.312562119455578,28.74621940174181,30.18888405736371,59.45887074813719,-98.65609643704641,-77.60802815840928,-35.79138614062756,57.25898459494927,-25.21179349654465,57.527902194950045,-32.8680103577901,99.99999999999997,83.33333333690629,93.84614893097987
4501,56.06681853268087,-0.6462035623704736,74.89137892563167,61.10928996309889,55.30574930926275,61.20655737384229,55.40348262574116,61.098368186112396,45.86337907409985,31.876081138612236,23.65869425051686,30.2546066324454,27.220236458673014,29.874077289162344,59.57979890215175,-98.65609643704641,-77.60802815840928,-51.469488088741464,56.87393040653147,-26.29329214426363,57.25457443253147,-41.77711551343488,99.99999999999997,83.33333333690629,93.84614893097987
